taxid	Domain	Phylum	Class	Order	Family	Genus
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Ureibacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Ureibacillus
Bacteria;Proteobacteria;Gammaproteobacteria;1013-28-CG33;NA;NA	Bacteria	Proteobacteria	Gammaproteobacteria	1013-28-CG33	NA	NA
Bacteria;Proteobacteria;Gammaproteobacteria;Nitrococcales;Nitrococcaceae;Halopeptonella	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrococcales	Nitrococcaceae	Halopeptonella
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Aquimixticola	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aquimixticola
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Porticoccaceae;SAR92 clade	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	SAR92 clade
Bacteria;Bacteroidota;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae;Ignavibacterium	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Methylomonas	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylomonas
Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Algisphaera	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Algisphaera
Bacteria;Proteobacteria;Gammaproteobacteria;FGL7S;NA;NA	Bacteria	Proteobacteria	Gammaproteobacteria	FGL7S	NA	NA
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;uncultured	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	uncultured
Bacteria;Proteobacteria;Alphaproteobacteria;NRL2;NA;NA	Bacteria	Proteobacteria	Alphaproteobacteria	NRL2	NA	NA
Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;Halobacteriovorax	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Halobacteriovorax
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methyloligellaceae;Methyloligella	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	Methyloligella
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium
Bacteria;Chloroflexi;JG30-KF-CM66;NA;NA;NA	Bacteria	Chloroflexi	JG30-KF-CM66	NA	NA	NA
Bacteria;Verrucomicrobiota;Kiritimatiellae;Kiritimatiellales;Kiritimatiellaceae;uncultured	Bacteria	Verrucomicrobiota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	uncultured
